DBA Name,Facility Type,Risk,Zip,Inspection Date,Inspection Type,Latitude,Longitude,Location,Results
CAFE FURAIBO JAPANESE RESTAURANT & SUSHI,Restaurant,Risk 1 (High),60657,8/6/2014,Canvass,41.93463181,-87.66139721,"(41.934631813223206, -87.66139720963697)",Pass
LONNIE'S PIZZERIA INC,Restaurant,Risk 1 (High),60634,8/6/2014,Canvass,41.95194858,-87.83594475,"(41.95194858372332, -87.83594475494411)",No Entry
OWEN + ALCHEMY,Restaurant,Risk 2 (Medium),60647,8/6/2014,License,41.92411344,-87.6990905,"(41.92411344379971, -87.6990905008456)",Fail
NICKY'S CHINESE FOOD,Restaurant,Risk 1 (High),60615,8/6/2014,Canvass Re-Inspection,41.79995223,-87.59650592,"(41.79995222840709, -87.59650591702139)",Fail
"PARK VIEW MART ,INC",Grocery Store,Risk 3 (Low),60649,8/6/2014,Complaint,41.77336841,-87.57663855,"(41.77336840854663, -87.57663855217714)",Pass w/ Conditions
MICHELLA TERRACE,Restaurant,Risk 1 (High),60641,8/6/2014,Canvass,41.95317844,-87.75780442,"(41.95317843969206, -87.75780441878463)",Pass
WIKLANSKI'S BAKERY,Bakery,Risk 2 (Medium),60634,8/6/2014,Canvass,41.93855323,-87.77656497,"(41.93855322769927, -87.7765649727826)",Pass
SUBWAY,Restaurant,Risk 1 (High),60616,8/6/2014,Canvass,41.83116513,-87.62210905,"(41.83116513402594, -87.62210904738643)",Pass
OLD FASHIONED DONUTS INC,Restaurant,Risk 2 (Medium),60628,8/6/2014,Canvass,41.68934157,-87.62115636,"(41.68934157174847, -87.62115635873056)",Pass
SPEEDWAY # 8317,Grocery Store,Risk 2 (Medium),60618,8/6/2014,Complaint,41.94304999,-87.67859462,"(41.943049987813325, -87.67859461686704)",Pass w/ Conditions
"WINDY CITY SUPERMARKET, INC.",Grocery Store,Risk 2 (Medium),60620,8/6/2014,License,41.7561627,-87.6528196,"(41.75616269963919, -87.6528196032268)",Fail
"DEL TORO,LLC",Restaurant,Risk 1 (High),60608,8/6/2014,Canvass Re-Inspection,41.85323373,-87.64636415,"(41.85323373038085, -87.64636414528013)",Pass
CUERNAVACA BAKERY,Bakery,Risk 2 (Medium),60623,8/6/2014,Canvass Re-Inspection,41.85190611,-87.70306059,"(41.85190611236992, -87.70306059179393)",Pass
"AMERICAN KIDZ ACADEMY, LLC-HYDE PARK",Daycare Above and Under 2 Years,Risk 1 (High),60615,8/6/2014,License,41.79378822,-87.58406146,"(41.79378821758089, -87.58406146354389)",Pass
WINGSTOP,Restaurant,Risk 1 (High),60639,8/6/2014,License,41.90984744,-87.73744355,"(41.9098474384738, -87.73744355102082)",No Entry
BRASSERIE 54,Restaurant,Risk 1 (High),60640,8/6/2014,Canvass Re-Inspection,41.98047008,-87.66847533,"(41.98047007654258, -87.66847533361282)",Pass w/ Conditions
WESTERN CAFE,Restaurant,Risk 1 (High),60659,8/6/2014,Canvass,41.98536153,-87.68965151,"(41.9853615288893, -87.68965150838075)",Pass
HOUSE OF HUNAN,Restaurant,Risk 1 (High),60614,8/6/2014,Canvass,41.92568726,-87.64095824,"(41.92568726351064, -87.64095823958841)",Fail
CHILAM BALAM,Restaurant,Risk 1 (High),60657,8/6/2014,Canvass,41.93720097,-87.64415793,"(41.93720097159082, -87.64415792660643)",Pass
MCDONALDS,Restaurant,Risk 2 (Medium),60659,8/6/2014,Recent Inspection,41.99025485,-87.71076324,"(41.990254848131904, -87.71076324353396)",Fail
BABA PITA,Restaurant,Risk 1 (High),60607,8/6/2014,Canvass,41.88567203,-87.65336679,"(41.88567203095461, -87.65336679063482)",Fail
"PARK FOODSERVICE, L.L.C.",Restaurant,Risk 1 (High),60611,8/6/2014,Canvass,41.90090767,-87.6240265,"(41.90090767085534, -87.62402650126214)",Pass w/ Conditions
MACARONI GRILL,Restaurant,Risk 1 (High),60666,8/6/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Fail
MCDONALD'S,Restaurant,Risk 2 (Medium),60660,8/6/2014,Short Form Complaint,41.9839522,-87.66900616,"(41.983952200630576, -87.66900616354508)",Pass
CHEZ JOEL,Restaurant,Risk 1 (High),60607,8/6/2014,Canvass,41.86933228,-87.65510679,"(41.86933227916697, -87.65510678669794)",Pass
JIMMY JOHN'S - WASHINGTON,Restaurant,Risk 1 (High),60606,8/6/2014,Canvass,41.88331956,-87.63437966,"(41.88331955933273, -87.63437965857405)",Pass
RELISH THE THOUGHT,Restaurant,Risk 2 (Medium),60657,8/6/2014,Canvass,41.94020052,-87.6491261,"(41.94020052246845, -87.64912610209599)",Pass
STANDARD MARKET GRILL,Restaurant,Risk 1 (High),60614,8/6/2014,Complaint,41.92568726,-87.64095824,"(41.92568726351064, -87.64095823958841)",Fail
PARKSIDE GYROS,Restaurant,Risk 1 (High),60626,8/6/2014,Canvass,42.01539691,-87.67495035,"(42.01539691067592, -87.67495034520081)",Out of Business
BQ AFROROOT CUISINE,Restaurant,Risk 1 (High),60640,8/6/2014,Complaint,41.96733651,-87.6560596,"(41.967336512668176, -87.65605959785111)",Fail
PARKSIDE GYROS,Restaurant,Risk 1 (High),60626,8/6/2014,License Re-Inspection,42.01539691,-87.67495035,"(42.01539691067592, -87.67495034520081)",Pass
PARKSIDE GYROS,Restaurant,Risk 1 (High),60626,8/6/2014,Canvass Re-Inspection,42.01539691,-87.67495035,"(42.01539691067592, -87.67495034520081)",Pass
TRAVEL TRADERS #3081 @ HILTON O'HARE,Grocery Store,Risk 3 (Low),60666,8/6/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Pass
EL  FAMOUS  BURRITO,Restaurant,Risk 1 (High),60607,8/6/2014,Canvass,41.88167135,-87.64984266,"(41.881671347279195, -87.64984266457519)",Fail
THE NILE RESTAURANT,Restaurant,Risk 1 (High),60615,8/6/2014,Complaint,41.7951706,-87.5971002,"(41.79517060450029, -87.59710020185207)",Pass
WHOLE FOODS,Grocery Store,Risk 1 (High),60646,8/6/2014,Complaint,41.99049477,-87.74847741,"(41.990494771830264, -87.74847741422931)",Fail
RITZ-CARLTON WATER TOWER,Restaurant,Risk 1 (High),60611,8/6/2014,Canvass,41.89770258,-87.62346196,"(41.89770258097883, -87.62346195629931)",Pass
FITNESS FORMULA CLUBS - HALSTED STREET,Restaurant,Risk 2 (Medium),60657,8/6/2014,Canvass,41.94085534,-87.64944159,"(41.940855336341535, -87.64944158659914)",Pass
"ANDIAMO'S O'HARE, LLC",Restaurant,Risk 1 (High),60666,8/6/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Pass
Three Aces Restaurant,Restaurant,Risk 1 (High),60607,8/6/2014,Canvass,41.86925517,-87.66006174,"(41.86925517406011, -87.6600617423072)",Fail
J & J FISH AND CHICKEN,Restaurant,Risk 2 (Medium),60620,8/6/2014,Canvass,41.74342733,-87.63218113,"(41.743427333056644, -87.63218113202454)",Pass
CHURCH'S CHICKEN # 577,Restaurant,Risk 2 (Medium),60644,8/6/2014,Complaint Re-Inspection,41.88799311,-87.77476283,"(41.887993114472906, -87.77476283162106)",Pass
AUNTIE ANNE'S PRETZEL,Restaurant,Risk 2 (Medium),60652,8/6/2014,Canvass,41.75466012,-87.74138476,"(41.75466012439374, -87.74138475860521)",Pass
HILTON O'HARE,Restaurant,Risk 1 (High),60666,8/6/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Fail
MRS. FIELDS COOKIE,Restaurant,Risk 2 (Medium),60652,8/6/2014,Canvass,41.75466012,-87.74138476,"(41.75466012439374, -87.74138475860521)",Out of Business
MED KITCHEN,Restaurant,Risk 1 (High),60606,8/6/2014,Canvass,41.88309983,-87.63443384,"(41.88309982991982, -87.63443384120028)",Pass
NARANJITO MICHOACANO,,Risk 3 (Low),60623,8/6/2014,Canvass,41.84428193,-87.73033724,"(41.844281925871094, -87.73033724022376)",Out of Business
EARTH'S HEALING CAFE,Restaurant,Risk 2 (Medium),60613,8/6/2014,Canvass,41.96158074,-87.67765177,"(41.96158073747068, -87.67765176892024)",Pass w/ Conditions
NATYS PIZZA 26,Restaurant,Risk 1 (High),60623,8/6/2014,Canvass,41.84418037,-87.72159139,"(41.844180372384606, -87.72159139295995)",Out of Business
BLUE  WILLOW,Restaurant,Risk 1 (High),60647,8/6/2014,Canvass,41.92500431,-87.68841336,"(41.92500430630925, -87.68841336320455)",Pass w/ Conditions
POPEYES FRIED CHICKEN,Restaurant,Risk 1 (High),60639,8/6/2014,Canvass Re-Inspection,41.90951865,-87.7630188,"(41.90951865138598, -87.7630187998563)",Pass
LUTNIA RESTAURANT,Restaurant,Risk 1 (High),60641,8/6/2014,Canvass,41.93869782,-87.76541114,"(41.93869781741385, -87.76541113658556)",Pass
EDIBLE ARRANGEMENTS,Grocery Store,Risk 2 (Medium),60628,8/6/2014,Canvass,41.71303487,-87.64283248,"(41.713034874720925, -87.64283248295415)",Pass w/ Conditions
BROADWAY SUPERMARKET,Grocery Store,Risk 2 (Medium),60640,8/6/2014,Canvass,41.97117118,-87.65958097,"(41.971171180793625, -87.65958097499795)",Pass
FAST AND FRESH,Restaurant,Risk 1 (High),60657,8/6/2014,Canvass,41.94551137,-87.64631523,"(41.9455113748058, -87.64631522697728)",Out of Business
CITIZEN,Restaurant,Risk 1 (High),60654,8/6/2014,Short Form Complaint,41.89404767,-87.63820204,"(41.89404766848803, -87.63820204272278)",Pass
HIENIE'S,Restaurant,Risk 1 (High),60617,8/6/2014,Canvass,41.70648743,-87.55949851,"(41.70648742697794, -87.55949850858342)",Pass
SOPRAFFINA,Restaurant,Risk 1 (High),60602,8/6/2014,Complaint,41.8822157,-87.62955625,"(41.88221569794795, -87.6295562535779)",Pass
BONSOIREE,Restaurant,Risk 1 (High),60647,8/6/2014,Canvass,41.91761294,-87.69591487,"(41.91761294464501, -87.69591486630621)",Pass w/ Conditions
JIMMY JOHN'S-JACKSON,Restaurant,Risk 1 (High),60604,8/6/2014,Complaint,41.87831268,-87.62753416,"(41.8783126806928, -87.62753415970441)",Pass
LA PETITE FOLIE,Restaurant,Risk 1 (High),60615,8/6/2014,Canvass,41.79530818,-87.58894079,"(41.79530818499822, -87.58894079318983)",Pass
EDISON PARK LUTHERAN CHURCH,Daycare (2 - 6 Years),Risk 1 (High),60631,8/5/2014,License,42.00119492,-87.81793881,"(42.00119491552045, -87.81793881093346)",Pass
LITTLE RASCALS,Restaurant,Risk 2 (Medium),60641,8/5/2014,Canvass,41.93907306,-87.73690352,"(41.939073060840656, -87.7369035198695)",No Entry
FAST ENTERTAINMENT INC,Restaurant,Risk 2 (Medium),60641,8/5/2014,Canvass,41.93923957,-87.73718864,"(41.939239567523536, -87.73718863652049)",No Entry
TAVERNA 750,Restaurant,Risk 1 (High),60657,8/5/2014,Complaint Re-Inspection,41.94555069,-87.64904996,"(41.94555069309664, -87.6490499606871)",Pass
TACO BURRITO KING,Restaurant,Risk 1 (High),60656,8/5/2014,Complaint,41.98114975,-87.8068093,"(41.981149750498034, -87.8068092983915)",Pass w/ Conditions
CEDAR HOTEL CAFE,Restaurant,Risk 1 (High),60610,8/5/2014,Complaint,41.90217193,-87.62850306,"(41.90217192822106, -87.62850306384912)",Pass w/ Conditions
Chef Burger Bistro,Restaurant,Risk 1 (High),60611,8/5/2014,Canvass,41.89186947,-87.62274858,"(41.8918694700262, -87.62274858399921)",Fail
MCDONALD'S RESTAURANT,Restaurant,Risk 2 (Medium),60660,8/5/2014,Canvass,41.99785644,-87.67642503,"(41.99785643742185, -87.67642502602074)",Pass
BIG JONES,Restaurant,Risk 1 (High),60640,8/5/2014,Canvass,41.97941448,-87.66814328,"(41.9794144832459, -87.66814328059407)",Pass w/ Conditions
BONSAI CAFE & LOUNGE,Restaurant,Risk 1 (High),60657,8/5/2014,Canvass,41.94557267,-87.64928691,"(41.9455726687594, -87.64928691228948)",Pass w/ Conditions
PROTEIN BAR,Restaurant,Risk 1 (High),60606,8/5/2014,Canvass,41.88309963,-87.63448944,"(41.883099629998725, -87.63448943715312)",Fail
BISMILLAH RESTAURANT,Restaurant,Risk 1 (High),60660,8/5/2014,Complaint,41.99564933,-87.67559802,"(41.99564932905096, -87.67559801612487)",Pass
MEHRAB SUPER MARKET,Grocery Store,Risk 2 (Medium),60659,8/5/2014,Canvass,41.99759945,-87.6911627,"(41.99759944782518, -87.69116270116571)",Pass
SAFA MARKET,Grocery Store,Risk 2 (Medium),60659,8/5/2014,Canvass,41.99764734,-87.68826118,"(41.99764733751051, -87.68826118291257)",Pass
DAWALI MEDITERANEAN KITCHEN,Restaurant,Risk 1 (High),60625,8/5/2014,Canvass,41.97064735,-87.70839073,"(41.97064734770698, -87.70839072729144)",Out of Business
FIRST ZABIHA MEAT BAZAAR,Grocery Store,Risk 2 (Medium),60659,8/5/2014,Canvass,41.99740137,-87.70238538,"(41.99740137039031, -87.70238538227812)",Out of Business
HONEYBAKED HAM AND CAFE,Restaurant,Risk 2 (Medium),60657,8/5/2014,Canvass,41.93289126,-87.66826723,"(41.93289126306049, -87.66826723143315)",Pass
ARMAND'S PIZZERIA,Restaurant,Risk 1 (High),60631,8/5/2014,Canvass,42.00258143,-87.81607036,"(42.00258143308993, -87.81607036079886)",Pass
ARAMARK @ NORTH PARK,Restaurant,Risk 2 (Medium),60625,8/5/2014,License,41.97522386,-87.71218562,"(41.97522386496645, -87.71218561762174)",Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60604,8/5/2014,Canvass,41.87739694,-87.62751493,"(41.87739693703613, -87.62751493171092)",Pass
RAJUN CAJUN,Restaurant,Risk 1 (High),60615,8/5/2014,Short Form Complaint,41.79943078,-87.58947934,"(41.79943077995451, -87.58947933531431)",Pass
THE BLUEBIRD BISTRO & WINEBAR,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.91373477,-87.67738947,"(41.91373476900909, -87.67738946996936)",Out of Business
LEONA'S RESTAURANT,Restaurant,Risk 3 (Low),60626,8/5/2014,License,42.00788364,-87.66150962,"(42.0078836440726, -87.66150961632322)",Pass
CRAZY BIRD,Restaurant,Risk 2 (Medium),60612,8/5/2014,License Re-Inspection,41.86712611,-87.69606668,"(41.867126112182135, -87.69606668321227)",Pass
THE HIDDEN SHAMROCK,Restaurant,Risk 1 (High),60614,8/5/2014,Canvass,41.93223004,-87.64884722,"(41.932230036509495, -87.64884721866703)",No Entry
HotChocolate,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.91367837,-87.6773884,"(41.91367837129988, -87.67738839670973)",Pass
"Eurest Dining Services @ Drinker, Biddle & Reath LLP",Restaurant,Risk 1 (High),60606,8/5/2014,Canvass,41.8855345,-87.63667609,"(41.88553449994189, -87.63667609147453)",Pass
FONTANO FOODS,Restaurant,Risk 1 (High),60607,8/5/2014,Canvass,41.87194496,-87.6535519,"(41.87194495663053, -87.65355189902385)",Fail
MR. G'S BEEF,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.93060513,-87.70968937,"(41.930605133145264, -87.70968936811575)",Out of Business
THE BRISTOL,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.92105542,-87.67788657,"(41.921055421651985, -87.67788656723653)",No Entry
RED DOOR,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.92007574,-87.67785213,"(41.92007574253517, -87.67785212775735)",No Entry
SKYLARK,Restaurant,Risk 1 (High),60608,8/5/2014,Canvass Re-Inspection,41.85274954,-87.64635125,"(41.85274953958152, -87.64635124584164)",Pass
LEONA'S RESTAURANT,Restaurant,Risk 1 (High),60626,8/5/2014,License,42.00788364,-87.66150962,"(42.0078836440726, -87.66150961632322)",Pass
EL CAMPESTRE #2,Restaurant,Risk 1 (High),60629,8/5/2014,Canvass,41.76710167,-87.72261568,"(41.767101669051904, -87.72261567842712)",Pass
KIDZ TOWN,Children's Services Facility,Risk 1 (High),60659,8/5/2014,License,41.99053703,-87.70225208,"(41.99053703477551, -87.70225207792787)",Fail
CHEF ALFREDO FAST FOOD,Restaurant,Risk 2 (Medium),60637,8/5/2014,Canvass,41.77322973,-87.60591767,"(41.77322973389133, -87.60591766980235)",Pass
LAGO BANQUETS,BANQUET HALL,Risk 1 (High),60639,8/5/2014,Canvass,41.93098196,-87.77923471,"(41.93098195995931, -87.77923471427376)",No Entry
BIG BUBBAS,,Risk 3 (Low),60620,8/5/2014,Canvass,41.75031663,-87.65852694,"(41.750316629374, -87.65852694008046)",Out of Business
CHURCH'S CHICKEN #259,Restaurant,Risk 2 (Medium),60628,8/5/2014,Canvass,41.70734959,-87.61858476,"(41.70734959025858, -87.61858476162116)",Pass
SUBWAY,Restaurant,Risk 1 (High),60601,8/5/2014,Canvass,41.88577122,-87.63082982,"(41.88577121746171, -87.63082981639084)",Pass
79TH STREET FISH & CHICKEN,Restaurant,Risk 2 (Medium),60620,8/5/2014,Canvass,41.75031663,-87.65852694,"(41.750316629374, -87.65852694008046)",Out of Business
TAQUERIA EL MOLINO CORPORATION,Restaurant,Risk 1 (High),60623,8/5/2014,Canvass Re-Inspection,41.83678252,-87.72369457,"(41.836782523060506, -87.72369456761018)",No Entry
ANTONIOS CAFE AND RESTAURANT,Restaurant,Risk 1 (High),60655,8/5/2014,License,41.69139894,-87.70472545,"(41.6913989363127, -87.70472545403344)",Pass
GREAT DRAGON 28 INC.,Restaurant,Risk 1 (High),60618,8/5/2014,Canvass Re-Inspection,41.94049364,-87.72591132,"(41.940493637306474, -87.72591131934738)",Pass
HARD ROCK CAFE,Restaurant,Risk 1 (High),60654,8/5/2014,Complaint,41.89312775,-87.63056252,"(41.89312775453658, -87.63056251830054)",Fail
HALSTED STREET DELI,Restaurant,Risk 1 (High),60604,8/5/2014,License,41.87739694,-87.62751493,"(41.87739693703613, -87.62751493171092)",Fail
SEALAND RESTAURANT,,Risk 3 (Low),60620,8/5/2014,Canvass,41.75031663,-87.65852694,"(41.750316629374, -87.65852694008046)",Out of Business
JUSTIN'S,Restaurant,Risk 1 (High),60657,8/5/2014,Canvass,41.94330696,-87.66406138,"(41.94330695630928, -87.66406138245193)",Pass
REDMOON THEATER,THEATER,Risk 2 (Medium),60616,8/5/2014,License Re-Inspection,41.8536188,-87.64187969,"(41.853618799140406, -87.6418796860035)",Fail
M J FLAMING,Restaurant,Risk 1 (High),60622,8/5/2014,Canvass,41.89910985,-87.64773276,"(41.89910984731563, -87.64773276006171)",Pass w/ Conditions
LAS ISLAS MARIAS,Restaurant,Risk 1 (High),60639,8/5/2014,Complaint Re-Inspection,41.91399921,-87.74586369,"(41.91399920930635, -87.74586369218258)",Pass w/ Conditions
FALCO'S PIZZA,Restaurant,Risk 1 (High),60632,8/5/2014,Suspected Food Poisoning,41.82023097,-87.69487471,"(41.82023097447918, -87.6948747056587)",Fail
SOUTHPORT AND IRVING,Restaurant,Risk 1 (High),60613,8/5/2014,Canvass,41.95439962,-87.66436309,"(41.95439962284545, -87.66436309454507)",Pass w/ Conditions
LOOMIS FAST FOOD & MART,Restaurant,Risk 2 (Medium),60620,8/5/2014,License Re-Inspection,41.75031663,-87.65852694,"(41.750316629374, -87.65852694008046)",Pass
VERANDA GREEK AMERICAN TAVERNA,Restaurant,Risk 1 (High),60634,8/5/2014,Complaint Re-Inspection,41.95325817,-87.76951203,"(41.95325816953041, -87.76951202741661)",Pass
ROCKWELL'S NEIGHBORHOOD GRILL,Restaurant,Risk 1 (High),60625,8/5/2014,Canvass,41.96580613,-87.69386749,"(41.96580612741261, -87.6938674921247)",Pass
J & J FISH & CHICKEN,Restaurant,Risk 2 (Medium),60649,8/5/2014,Complaint,41.77102801,-87.58641719,"(41.7710280071688, -87.58641718666685)",Fail
RANDOLPH TAVERN,Restaurant,Risk 1 (High),60601,8/5/2014,Short Form Complaint,41.88457966,-87.63375683,"(41.88457966297369, -87.63375683353853)",Pass
SOFIA'S PIZZA,Restaurant,Risk 1 (High),60607,8/5/2014,Canvass,41.86954627,-87.65550099,"(41.86954627058427, -87.65550098867566)",Out of Business
LA GUERRERENSE COCINA MEXICANA,Restaurant,Risk 1 (High),60639,8/5/2014,Canvass Re-Inspection,41.92434992,-87.74624359,"(41.924349915845674, -87.74624359088797)",Pass
CASA YARI,Restaurant,Risk 1 (High),60647,8/5/2014,Canvass,41.92479632,-87.71012068,"(41.92479632473597, -87.71012067917576)",Pass
EXPRESS GRILL INC,Restaurant,Risk 1 (High),60608,8/5/2014,Canvass,41.85817766,-87.64679834,"(41.85817765911514, -87.64679833651262)",Pass
EL PUESTECITO,Restaurant,Risk 1 (High),60617,8/5/2014,License Re-Inspection,41.70550648,-87.53513945,"(41.70550648249998, -87.53513945323924)",Pass
BIG G'S PIZZA,Restaurant,Risk 1 (High),60607,8/5/2014,License Re-Inspection,41.86954627,-87.65550099,"(41.86954627058427, -87.65550098867566)",Pass
"TAQUERIA EL ARCO #3 EL POLLO FELIZ, INC.",Restaurant,Risk 1 (High),60629,8/5/2014,Canvass,41.76512642,-87.72227899,"(41.765126421774134, -87.72227898862089)",Pass
CITGO FUEL & MINI MART,Grocery Store,Risk 3 (Low),60620,8/5/2014,Complaint Re-Inspection,41.74356545,-87.64368965,"(41.74356545095727, -87.64368965493803)",Pass
DE COLORES,Restaurant,Risk 1 (High),60608,8/5/2014,Canvass Re-Inspection,41.85918261,-87.64682982,"(41.85918260635193, -87.64682982484355)",Pass
R J GRUNTS,Restaurant,Risk 1 (High),60614,8/5/2014,Complaint,41.92003078,-87.63654555,"(41.92003078139471, -87.636545550607)",Pass
TASTEE  FREEZ,Restaurant,Risk 2 (Medium),60647,8/5/2014,Complaint,41.91737388,-87.69784151,"(41.917373880004064, -87.69784150849985)",Pass
Charminar Fine Dining & Grill,Restaurant,Risk 1 (High),60659,8/5/2014,Canvass,41.99737113,-87.69246071,"(41.99737112616464, -87.6924607091029)",Pass
ATHENA RESTAURANT,Restaurant,Risk 1 (High),60661,8/5/2014,Complaint,41.87880138,-87.6474162,"(41.87880137816326, -87.64741620290556)",Fail
HACIENDA LOS TORRES,Restaurant,Risk 1 (High),60639,8/5/2014,Canvass,41.92397326,-87.75798631,"(41.92397325927494, -87.75798631267563)",Pass
ONWARD NEIGHBORHOOD HOUSE,Daycare (2 - 6 Years),Risk 1 (High),60639,8/5/2014,Canvass,41.93121715,-87.76226148,"(41.93121715112931, -87.76226148035626)",Out of Business
MARINERO BAR AND GRILL,Restaurant,Risk 1 (High),60618,8/5/2014,Canvass,41.95406813,-87.70147783,"(41.954068125180704, -87.70147782880944)",Pass w/ Conditions
GALLERIA MARCHETTI,Restaurant,Risk 1 (High),60622,8/5/2014,Canvass,41.89324923,-87.64879206,"(41.89324923448882, -87.64879205703046)",Fail
LEONA'S RESTAURANT,Restaurant,Risk 1 (High),60617,8/5/2014,License,41.72795238,-87.58558036,"(41.72795237840198, -87.58558036137349)",Fail
JUGULANDIA LA CHILANGA,Restaurant,Risk 2 (Medium),60632,8/5/2014,Canvass,41.79799187,-87.72344374,"(41.797991869962225, -87.723443740796)",Pass
PARIS OUH LALA,Mobile Food Preparer,Risk 1 (High),60612,8/5/2014,License,41.88743405,-87.68184949,"(41.88743405025222, -87.68184949426895)",Fail
LEONA'S RESTAURANT,Restaurant,Risk 1 (High),60617,8/5/2014,License,41.72795238,-87.58558036,"(41.72795237840198, -87.58558036137349)",Fail
ONWARD NEIGHBORHOOD HOUSE,Children's Services Facility,Risk 1 (High),60639,8/5/2014,License,41.93121715,-87.76226148,"(41.93121715112931, -87.76226148035626)",Pass
MCDONALDS RESTAURANT # 14173,Restaurant,Risk 2 (Medium),60610,8/5/2014,Complaint,41.91095447,-87.63455748,"(41.91095447276479, -87.63455748223664)",Pass
BELLI'S,Grocery Store,Risk 2 (Medium),60608,8/5/2014,Short Form Complaint,41.85783165,-87.65716342,"(41.85783164572629, -87.6571634171914)",Pass w/ Conditions
LITTLE BABA'S PHILLY STEAK,Restaurant,Risk 2 (Medium),60649,8/5/2014,Short Form Complaint,41.75193793,-87.55908695,"(41.75193793360491, -87.55908694571022)",Fail
THE ORIGINAL SCOOPS CHICAGO INC.,ICE CREAM SHOP,Risk 2 (Medium),60616,8/5/2014,Canvass,41.83821054,-87.64181864,"(41.83821054421488, -87.64181863880087)",Pass
LEONAS,Restaurant,Risk 1 (High),60617,8/5/2014,Canvass,41.72795238,-87.58558036,"(41.72795237840198, -87.58558036137349)",Fail
LITTLE CAESAR PIZZA #1643,Restaurant,Risk 2 (Medium),60634,8/5/2014,Canvass,41.95328649,-87.76737907,"(41.95328648540001, -87.76737907014223)",Pass
TUTTO FRESCO,Restaurant,Risk 1 (High),60613,8/5/2014,Canvass Re-Inspection,41.95209132,-87.64948576,"(41.95209131570125, -87.64948576380081)",Pass
PARISIS DRIVE IN,Restaurant,Risk 1 (High),60638,8/5/2014,Canvass,41.77786303,-87.77717745,"(41.777863025694934, -87.77717745138237)",Fail
POTTER'S,Restaurant,Risk 1 (High),60603,8/5/2014,Canvass,41.88066458,-87.62708936,"(41.88066457839605, -87.6270893644417)",Fail
GAUDI CAFE,Restaurant,Risk 1 (High),60642,8/5/2014,License,41.89098034,-87.65645936,"(41.89098034174263, -87.65645936254593)",Fail
"EAST OF THE RYAN,INC",Restaurant,Risk 1 (High),60619,8/5/2014,Canvass,41.7514313,-87.60211212,"(41.7514313030561, -87.60211212497248)",Fail
MARIA'S LOUNGE,Liquor,Risk 3 (Low),60622,8/5/2014,Complaint Re-Inspection,41.90339097,-87.671449,"(41.90339097291334, -87.67144899975825)",Pass
Palmer House Hilton,Restaurant,Risk 1 (High),60603,8/5/2014,Canvass,41.88066458,-87.62708936,"(41.88066457839605, -87.6270893644417)",Pass
LEGHORN CHICKEN,Restaurant,Risk 1 (High),60622,8/5/2014,License,41.89933654,-87.68678817,"(41.89933653799507, -87.686788170572)",Fail
RED COACH RESTAURANT,Restaurant,Risk 1 (High),60629,8/5/2014,Canvass,41.75912971,-87.74155365,"(41.75912971390726, -87.74155364936757)",Pass w/ Conditions
"MCDONALD'S REST. OF ILL, INC",Restaurant,Risk 2 (Medium),60625,8/5/2014,Canvass Re-Inspection,41.97585969,-87.70846497,"(41.97585969420299, -87.70846496772994)",Pass
Howl at the Moon,Restaurant,Risk 1 (High),60610,8/5/2014,Canvass,41.8901587,-87.62900058,"(41.890158698721514, -87.62900058152663)",No Entry
GAUDI CAFE,Restaurant,Risk 1 (High),60642,8/5/2014,Canvass,41.89098034,-87.65645936,"(41.89098034174263, -87.65645936254593)",Fail
SAMMY'S RED HOTS,Restaurant,Risk 1 (High),60610,8/5/2014,Short Form Complaint,41.9039376,-87.6362147,"(41.90393760463335, -87.63621470016516)",Pass
MOTHER HUBBARDS,Restaurant,Risk 1 (High),60610,8/5/2014,Canvass,41.8899516,-87.6282288,"(41.889951601607, -87.6282287976515)",Fail
McDonalds,Restaurant,Risk 2 (Medium),60641,8/5/2014,Canvass,41.9595751,-87.74764569,"(41.95957509944307, -87.74764568707928)",Pass
MCDONALD'S,Restaurant,Risk 2 (Medium),60624,8/5/2014,Short Form Complaint,41.86651389,-87.7057336,"(41.86651388819227, -87.70573359902552)",Fail
MY FAIR LADY,BANQUET,Risk 1 (High),60639,8/5/2014,Canvass,41.93130131,-87.7722616,"(41.93130131459213, -87.77226160014527)",Fail
RACINE PLUMBING,Restaurant,Risk 1 (High),60614,8/5/2014,Canvass,41.92984238,-87.65512664,"(41.929842384442395, -87.65512664177405)",Pass
PETE'S FRESH SUPERMARKET,Grocery Store,Risk 1 (High),60608,8/5/2014,Short Form Complaint,41.85210065,-87.68905111,"(41.85210065324028, -87.68905111060724)",Pass w/ Conditions
